,CGA,students
1004,3.264,50999164
1005,2.469,51002383
1006,1.9,51002969
1007,3.929,51004444
1008,2.597,51005413
1009,2.613,51005962
1010,2.773,51008042
1011,2.845,51009962
1012,2.428,51010616
1013,2.54,51010629
1014,3.374,51012227
1015,2.503,51012609
1016,2.328,51013510
1017,3.377,51014456
1018,2.256,51016061
1019,2.818,51017793
1020,3.58,51018181
1021,2.425,51018762
1022,3.507,51019420
1023,3.933,51019731
1024,4.187,51020464
1025,2.69,51026417
1026,3.268,51026801
1027,2.839,51028440
1028,2.099,51028609
1029,2.93,51028963
1030,2.738,51029476
1031,2.382,51030777
1032,2.197,51031053
1033,2.646,51031125
1034,3.775,51031967
1035,2.174,51032076
1036,2.828,51033134
1037,3.867,51033159
1038,1.828,51034052
1039,3.271,51034092
1040,3.267,51036305
1041,2.208,51038932
1042,3.948,51040505
1043,2.892,51040768
1044,1.977,51041781
1045,2.842,51042212
1046,2.225,51042820
1047,3.0,51042919
1048,3.039,51043018
1049,3.302,51043103
1050,1.798,51045912
1051,3.155,51047299
1052,3.519,51048364
1053,3.718,51050081
1054,4.012,51050941
1055,2.276,51051315
1056,2.3,51051469
1057,3.123,51052674
1058,2.429,51053305
1059,3.207,51053569
1060,3.85,51053807
1061,3.27,51054104
1062,3.205,51054176
1063,2.437,51056604
1064,3.221,51057618
1065,3.555,51064379
1066,1.959,51065394
1067,3.482,51066401
1068,2.933,51066723
1069,2.81,51066725
1070,2.82,51067724
1071,3.763,51071573
1072,2.985,51071592
1073,3.558,51073843
1074,3.264,51074475
1075,2.625,51075289
1076,2.969,51076044
1077,2.416,51076316
1078,2.442,51076859
1079,3.034,51082713
1080,2.595,51083522
1081,3.22,51083555
1082,3.05,51083943
1083,3.053,51087160
1084,2.782,51087714
1085,3.611,51092413
1086,3.327,51094684
1087,2.834,51094777
1088,3.858,51095302
1089,3.181,51095626
1090,2.964,51096621
1091,2.88,51097854
1092,1.838,51098913
1093,2.726,51100661
1094,3.208,51101244
1095,3.194,51102311
1096,2.351,51102575
1097,2.192,51104724
1098,3.147,51105439
1099,2.404,51107440
1100,2.44,51107500
1101,2.232,51107773
1102,3.213,51109016
1103,3.531,51110397
1104,3.059,51111989
1105,2.283,51112676
1106,2.861,51112729
1107,2.669,51113551
1108,2.252,51114540
1109,2.734,51115490
1110,3.781,51116875
1111,2.496,51119346
1112,3.103,51119949
1113,2.148,51120182
1114,1.18,51120844
1115,4.005,51123319
1116,3.72,51123594
1117,2.286,51123694
1118,2.997,51125767
1119,3.598,51126272
1120,3.21,51127683
1121,3.169,51127692
1122,3.15,51127700
1123,3.021,51129082
1124,2.894,51129189
1125,3.383,51131283
1126,3.646,51132029
1127,2.845,51132276
1128,3.028,51133387
1129,2.645,51134186
1130,2.742,51137725
1131,2.916,51137759
1132,3.799,51138650
1133,3.086,51138735
1134,2.896,51138829
1135,2.708,51139282
1136,2.48,51139600
1137,3.364,51143268
1138,3.349,51143288
1139,3.969,51144778
1140,2.121,51145112
1141,2.979,51145232
1142,2.71,51146594
1143,3.412,51146724
1144,2.111,51147532
1145,3.135,51148906
1146,2.11,51149164
1147,3.033,51149376
1148,3.002,51152772
1149,3.348,51152824
1150,3.17,51154064
1151,2.751,51154675
1152,3.211,51156660
1153,4.206,51157369
1154,2.482,51159218
1155,3.148,51159929
1156,2.932,51160305
1157,3.6,51160389
1158,2.165,51160619
1159,2.475,51161795
1160,2.129,51162170
